year,month,day,Site,Latitude,Longitude,Elevation,Precip,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,total_butterly_count,Unique_butterflies,PartyHours,X.Parties,tmean_previous30,tmax_previous30,tmin_previous30,PrecipSum_previous30,tmean_previous90,tmax_previous90,tmin_previous90,tmean_previous365,tmax_previous365,tmin_previous365,PrecipSum_previous90,PrecipSum_previous365,Group_Thirty,Group_Twentyeight,Previous30_above30,Previous90_above30,Previous365_above30,Previous30_above28,Previous90_above28,Previous365_above28
2015,7,18,SabinoCanyonAZ,32.3656,-110.7774,1484,20.1,18.7,23.4,28.2,15.3,3.32,21.83,263,41,29.5,6,26.743333333333332,38,18,155.12000000000003,22.14888888888889,38,5.2,17.656164383561645,38,-5.5,234.14,822.56,0,1,NA,NA,NA,NA,NA,NA
2016,7,16,SabinoCanyonAZ,32.3656,-110.7774,1484,0,22.4,29.1,35.8,9.4,12.71,48.41,851,56,45.5,9,27.376666666666665,39.9,16.7,55.160000000000046,22.621111111111112,39.9,4.9,17.30931506849315,39.9,-7.9,55.81999999999998,848.3100000000001,1,1,NA,NA,NA,NA,NA,NA
2017,7,15,SabinoCanyonAZ,32.3656,-110.7774,1484,5.06,19.8,26.4,33.1,15.1,3.55,35.37,687,42,38.5,6,28.87333333333333,40.8,17,65.57000000000005,23.492222222222225,40.8,5.2,18.115068493150684,40.8,-4.2,71.28999999999998,542.16,1,1,NA,NA,NA,NA,NA,NA
2018,7,31,SabinoCanyonAZ,32.3656,-110.7774,1484,9.69,20.5,27.1,33.6,14.7,5.74,36.96,1100,63,33.5,6,26.656666666666663,38.8,17.5,94.18000000000005,24.90111111111111,38.8,4.3,18.74821917808219,38.8,-4.1,134.32999999999998,393.46000000000004,1,1,17,NA,NA,22,NA,NA
2019,7,23,SabinoCanyonAZ,32.3656,-110.7774,1484,16.91,18.5,26.3,34,14.7,1.93,38.96,906,60,38.5,7,27.436666666666664,37.7,16.2,25.200000000000042,22.455555555555556,37.7,4.1,16.69123287671233,38.8,-5.4,31.729999999999983,630.1,1,1,17,NA,NA,22,NA,NA
2020,7,29,SabinoCanyonAZ,32.3656,-110.7774,1484,0,21.1,28.1,35.1,14,6.65,43.11,247,33,14.5,4,27.583333333333332,39.5,17.4,36.490000000000045,25.28777777777778,39.5,9.5,17.56904109589041,39.5,-6.5,43.78999999999998,453.27,1,1,17,NA,NA,21,NA,NA
2021,7,26,SabinoCanyonAZ,32.3656,-110.7774,1484,11.29,16.1,19.1,22.1,16.7,0.5,7.49,727,43,49.5,11,25.48,36.6,16.1,161.79000000000005,24.094444444444445,40.1,4.2,18.252876712328767,40.1,-4.8,170.70999999999998,289.75,0,0,15,NA,NA,19,NA,NA
2011,7,31,SantaRitaMountains,31.7268,-110.8723,1786,0.91,18.7,23.7,28.7,13.5,4.67,25.11,589,36,16,3,24.14,36.6,15.3,94.66,22.665555555555557,39.9,5.1,16.58082191780822,39.9,-15.7,96.73000000000003,490.58000000000004,0,1,NA,NA,NA,NA,NA,NA
2012,7,29,SantaRitaMountains,31.7268,-110.8723,1786,6.14,16.5,21.6,26.7,15.3,0.88,16.83,853,52,18.5,5,23.25,33.9,14.6,121.35,23.032222222222224,37.3,6.7,16.653698630136986,37.3,-6.9,165.61000000000004,564.15,0,0,NA,NA,NA,NA,NA,NA
2013,7,28,SantaRitaMountains,31.7268,-110.8723,1786,2.23,18.8,23.7,28.7,14.9,3.27,22.92,1084,56,26.5,5,23.856666666666666,36.4,15.9,86.67999999999999,22.99888888888889,37,6.6,16.63671232876712,37,-10.5,86.68000000000004,532.36,0,1,NA,NA,NA,NA,NA,NA
2014,7,27,SantaRitaMountains,31.7268,-110.8723,1786,5.84,18.4,24.6,30.8,12.9,5.93,30.08,1099,57,27,4,24.39,34.8,16.6,152.1,23.162222222222223,36.2,4.9,16.986027397260273,36.2,-4,152.25000000000003,493.36,1,1,NA,NA,NA,NA,NA,NA
2015,7,26,SantaRitaMountains,31.7268,-110.8723,1786,0,19.6,24.7,29.8,8.1,8.81,30.39,4908,83,43,6,23.04,32.9,14.8,133.67999999999998,21.07111111111111,36.8,3.4,16.495342465753424,36.8,-7.7,155.97000000000003,677.4300000000001,0,1,NA,NA,NA,NA,NA,NA
2016,7,31,SantaRitaMountains,31.7268,-110.8723,1786,5.2,16.7,22.7,28.7,15.3,1.89,21.38,1596,68,40.5,6,25.423333333333332,35.1,16.3,73.55999999999999,23.03777777777778,38.4,3.9,16.63808219178082,38.4,-9.2,116.95000000000003,674.23,0,1,NA,NA,NA,NA,NA,NA
2017,7,26,SantaRitaMountains,31.7268,-110.8723,1786,0.07,17.5,23.3,29,15,1.67,23.24,1013,55,38,6,24.36,35.7,15.8,180.56,22.723333333333336,39.6,2.9,17.344931506849314,39.6,-4.7,188.25000000000006,753.5500000000001,0,1,NA,NA,NA,NA,NA,NA
2018,7,29,SantaRitaMountains,31.7268,-110.8723,1786,0.09,19.3,24.1,28.8,15.6,4.1,20.55,3015,71,58.5,9,24.543333333333333,36.7,15.2,100.63,23.413333333333338,36.7,4.2,18.15917808219178,36.7,-4.7,132.57000000000005,392.05,0,1,NA,NA,NA,NA,NA,NA
2019,7,28,SantaRitaMountains,31.7268,-110.8723,1786,0,20,26.4,32.7,12.4,8.19,34.5,1160,68,37.5,6,25.846666666666668,37,16.6,53.49999999999999,21.397777777777776,37,3,15.741643835616438,37,-7.4,65.36000000000004,816.34,1,1,NA,NA,NA,NA,NA,NA
2020,7,31,SantaRitaMountains,31.7268,-110.8723,1786,0,23.8,29.3,34.8,6.8,19.06,45.72,1869,75,60,10,26.196666666666665,38.2,15.8,98.72999999999999,24.294444444444444,38.2,8.6,16.840273972602738,38.2,-6.1,122.71000000000004,715.4100000000001,1,1,NA,NA,NA,NA,NA,NA
2021,7,31,SantaRitaMountains,31.7268,-110.8723,1786,4.34,17,21.6,26.2,14.1,3.41,17.52,1514,42,36,6,22.833333333333332,34.5,14.5,253.72,23.27444444444445,39.8,7.4,17.471506849315066,39.8,-5.9,261.56000000000006,426.37000000000006,0,0,NA,NA,NA,NA,NA,NA
1980,7,15,SpringervilleAZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,62,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,7,23,SycamoreCreekAZ,33.8,-111.48,958,10.06,22.1,29,35.9,16,7.99,40.6,195,14,10,4,29.23,40.5,18.6,86.38,24.683333333333334,40.5,4.6,19.113698630136987,42.1,-2.7,86.43000000000002,416.28,1,1,NA,NA,NA,NA,NA,NA
2000,7,22,SycamoreCreekAZ,33.8,-111.48,958,0,25.7,32.5,39.3,10,19.93,58.81,54,5,6,3,29.526666666666664,42.2,19,11.249999999999991,27.068888888888885,42.2,9.8,20.307671232876714,42.2,-2.5,14.490000000000022,270.46,1,1,NA,NA,NA,NA,NA,NA
2004,7,28,SycamoreCreekAZ,33.8,-111.48,958,3.08,21,28.5,35.9,12.4,7.47,46.15,135,17,5.3,3,29.53666666666667,41.2,16.7,26.299999999999986,26.778888888888886,41.2,10.8,20.133698630136987,43,-4,26.300000000000022,389.15,1,1,NA,NA,NA,NA,NA,NA
