year,month,day,Site,Latitude,Longitude,Elevation,Precip,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,total_butterly_count,Unique_butterflies,PartyHours,X.Parties,tmean_previous30,tmax_previous30,tmin_previous30,PrecipSum_previous30,tmean_previous90,tmax_previous90,tmin_previous90,tmean_previous365,tmax_previous365,tmin_previous365,PrecipSum_previous90,PrecipSum_previous365,Wseason_precip,Wseason_tmean,Wseason_tmax,Wseason_tmin,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,recent_precip1,recent_precip2
2021,8,6,PortalAZ,31.85,-109.1667,2000,0,16.6,22.6,28.7,11.8,4.17,25.66,431,43,7,2,21.076666666666668,34.2,10.5,194.30999999999997,20.54111111111111,36.2,4.5,13.406301369863014,36.2,-14.8,254.96999999999997,428.44999999999993,116.72,8.24967632214176,29.1,-14.8,20.100394265232975,8.5,34.2,453.86,219.32,133.01999999999998
1981,7,19,RamseyCanyonAZ,31.424,-110.2238,1460,1.02,18.3,24.8,31.2,14.2,3.62,31.09,1713,64,27,4,25.83,37.5,16.9,93.42,22.633333333333333,37.5,8.2,NA,NA,NA,99.36,NA,113.97,11.934157066052228,28.8,-3,24.127777777777776,12.6,35.9,217.13,173.4,173.4
1982,6,24,RamseyCanyonAZ,31.424,-110.2238,1460,0,13.3,24.8,36.2,-0.6,9.14,54.14,1036,42,33,3,23.113333333333333,36.2,9.9,9.38,18.95111111111111,36.2,2.6,17.026575342465755,36.2,-4.3,20.990000000000002,438.05,177.93,12.629017994294491,30.2,-4.3,24.38931899641577,9.3,37.2,260.49,417.51,417.51
1983,8,6,RamseyCanyonAZ,31.424,-110.2238,1460,0,18.4,25.5,32.6,13.6,5.89,34.78,5934,94,56,9,25.656666666666666,36.6,15.6,113.42,23.517777777777777,38.8,7.5,15.915890410958903,38.8,-9.8,116.83,706.32,402.99,10.604743252139565,31.6,-9.8,24.562974910394267,12.9,38.8,339.23,307.64,282
1984,8,11,RamseyCanyonAZ,31.424,-110.2238,1460,13.6,16.9,21.5,26.2,18,0.05,13.46,2972,73,58.5,8,23.376666666666665,33.9,15.1,139.44,23.885555555555555,36.8,12.3,16.50191780821918,36.8,-5,209.74,639.41,240.52,11.46395624768261,30.1,-5,23.018172043010754,11.1,35,309.78999999999996,197.53,344.98
1985,8,10,RamseyCanyonAZ,31.424,-110.2238,1460,1.38,17.9,24.4,30.9,15.4,2.23,28.19,2067,79,52,6,24.446666666666665,36.7,15.3,108.86,24.07,39,7.4,16.004109589041096,39,-11,124.76,642.57,378.52,10.877431424182577,29.8,-11,23.73168458781362,7.3,38.3,242.20000000000002,327.3,255.64
1986,8,16,RamseyCanyonAZ,31.424,-110.2238,1460,1.59,17.9,25.6,33.4,16.8,1.15,30.68,4643,80,52,7,25.056666666666665,38,14,86.5,24.625555555555554,38,11.7,17.003287671232876,38,-6.4,196.22,594.94,294.84000000000003,12.467174676322141,30.8,-6.4,23.36673835125448,7.8,38,271.21999999999997,232.94,189.69
1987,8,9,RamseyCanyonAZ,31.424,-110.2238,1460,2.63,19.5,26,32.4,16,3.34,31.71,10507,68,69,8,25.26,37.3,15.3,150.65,23.81222222222222,37.3,7.8,16.133972602739725,37.3,-10.5,194.09,606.41,268.98,11.23186965108624,31.3,-10.5,23.551397849462365,11.5,37.3,308.65,226.8,229.41
1988,7,30,RamseyCanyonAZ,31.424,-110.2238,1460,2.77,16.9,23.5,30.2,15.9,0.34,24.72,3514,61,28,3,25.88,36.5,15.8,148.91,23.703333333333333,37.8,2.7,16.74164383561644,37.8,-8.8,157.68,619.01,210.59,12.128765824461041,32.3,-8.8,23.820286738351253,9.5,36.5,325.08,193.62,193.62
1989,8,6,RamseyCanyonAZ,31.424,-110.2238,1460,0,17.4,23.9,30.4,18,0.17,23.24,1180,79,61,6,25.226666666666667,37.9,14.9,92.72,24.124444444444446,41.4,4.8,17.464383561643835,41.4,-7.3,99.33,386.67,142.76,13.044668641650208,35.5,-7.3,24.362293906810034,9.6,41.4,160.33,316.5,224.18
1990,8,4,RamseyCanyonAZ,31.424,-110.2238,1460,5.78,16.2,23,29.9,15.8,1.17,24.53,3128,89,55,5,23.716666666666665,33.9,15.3,155.01,24.124444444444446,41.3,7.1,16.574794520547947,41.3,-9.1,182.02,379.69,119.35,11.57239192451174,32.5,-9.1,23.05394265232975,11.8,37.5,326.36,81.4,293.42
1991,7,30,RamseyCanyonAZ,31.424,-110.2238,1460,25.12,18.4,20.8,23.2,14.9,2.29,13.17,3699,96,61.5,8,24.89,36.4,15.3,56.97,22.21,36.8,5.7,16.004383561643834,36.8,-8.3,67.74000000000001,504.76,260.22,11.465016458196182,28.5,-8.3,23.532258064516128,11.6,36.4,185.75,308.33,308.33
1992,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,0,17.3,22.7,28.1,15.5,1.83,21.41,2624,87,55,7,24.45,38,13.8,116.19,22.54888888888889,38,7.1,16.240547945205478,38,-6.8,153.44,551.96,277.41999999999996,11.647837279516922,32.5,-6.8,23.837383512544804,11.4,38,268.91,161.95,425.95
1993,7,31,RamseyCanyonAZ,31.424,-110.2238,1460,0,20.2,27.5,34.8,11.9,8.23,43.04,2931,97,45.5,4,24.91,36.1,15,73.87,23.57111111111111,38.1,7.6,16.804931506849314,38.1,-6.3,89.62,632.67,386.1,11.98124972569673,31,-6.3,23.778602150537633,9.1,36.5,236.20999999999998,223.56,223.56
1994,7,30,RamseyCanyonAZ,31.424,-110.2238,1460,25.91,17,24.7,32.3,14.9,0.25,33.04,1410,81,44,5,26.096666666666668,37.2,14.6,73.35,24.104444444444443,40.3,7.1,16.972602739726028,40.3,-4.4,106.72,393.1,124.03999999999999,12.080220539828835,31.3,-4.4,24.635555555555555,12.3,37.2,196.24,423.59000000000003,423.59000000000003
1995,8,6,RamseyCanyonAZ,31.424,-110.2238,1460,0,20.4,28.2,36,11.4,9.99,46.48,4202,101,70,7,26.623333333333335,40,16.5,52.71,23.18111111111111,40,4.8,16.2572602739726,40,-5.9,53.339999999999996,554.66,376.82,11.415730743910467,29.5,-5.9,24.93516129032258,11.4,40,222.32,196.75,114.26
1996,8,5,RamseyCanyonAZ,31.424,-110.2238,1460,0,17.1,23.6,30.1,14.1,2.43,26.54,3263,94,67.5,8,25.833333333333332,36.4,17.1,144.14000000000001,25.165555555555557,38.3,8.5,17.98246575342466,38.3,-5.1,218.17000000000002,477.39,89.61,13.29721701361301,33,-5.1,24.01279569892473,11.2,36.4,242.96,134.34,185.7
1997,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,8.01,18.9,26.4,33.9,16,2.16,36.22,4679,101,58,8,26.043333333333333,38.2,15.2,39.37,24.345555555555556,38.3,10.9,16.89068493150685,38.3,-8,60.22,261.27,121.16999999999999,12.00286921220101,33.5,-8,25.289032258064516,13.8,38.3,173.46,287.1,347.54
1998,8,1,RamseyCanyonAZ,31.424,-110.2238,1460,9.67,19,24.3,29.6,17.6,2.37,22.72,3130,89,56.5,7,25.576666666666668,38.9,16.9,154.26000000000002,22.833333333333332,38.9,4.5,16.164109589041097,38.9,-4.7,154.31,542.09,245.68,10.81738424402019,33.4,-4.7,24.82620071684588,12,38.9,263.93,219.32,133.01999999999998
1999,8,3,RamseyCanyonAZ,31.424,-110.2238,1460,9.87,16.4,23.7,31,15.5,0.68,28.65,2750,86,76,8,23.453333333333333,33.8,15.8,148.32,23.034444444444443,37.5,7.2,16.8827397260274,37.5,-5.8,173.65,345.96,66.09,12.28890168970814,33.3,-5.8,23.4378853046595,11.8,37.5,319.98,206.27,42.52
2000,8,5,RamseyCanyonAZ,31.424,-110.2238,1460,2.37,18.8,27.4,36,12,5.74,47.59,7077,88,56,6,26.183333333333334,37.3,16.1,48.07,24.735555555555557,38,8,17.515342465753424,38,-5.7,210.32,369.52,19.56,12.880761163197203,34.1,-5.7,24.617921146953407,11.9,37.3,232.12,221.94,461.91
2001,8,4,RamseyCanyonAZ,31.424,-110.2238,1460,0.63,18.1,25,31.8,16.7,1.7,28.79,4023,100,63,8,23.813333333333333,34.2,15.7,98.73,24.017777777777777,37.6,7.7,16.18986301369863,37.6,-6.4,129.41,756.64,453.51,10.724956111476848,33.7,-6.4,23.837777777777777,11.7,37.6,242.97,99.02000000000001,149.43
2002,8,3,RamseyCanyonAZ,31.424,-110.2238,1460,3.23,18.4,23.5,28.6,15.7,2.23,22.25,493,52,52,6,25.16,37.3,15.2,99.58,24.43777777777778,38.5,6.6,17.0972602739726,38.5,-9.7,103.06,321.76,77.32,12.183496818082071,30.8,-9.7,24.40637992831541,11.8,37.3,232.28,84.78000000000002,328.24
2003,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,1.73,17.1,21.9,26.7,17.1,0.3,17.62,1327,68,47,5,26.726666666666667,39,16.7,84.84,24.55666666666667,39,4.9,16.91123287671233,39,-4.8,90.61,336.21,109.67,11.723762343647136,29.8,-4.8,25.131505376344087,12.7,39,213.81,152.16000000000003,476.15
2004,7,31,RamseyCanyonAZ,31.424,-110.2238,1460,0.03,16.7,25.1,33.5,8.6,6.1,41.71,2875,89,43.5,5,25.106666666666666,35.4,11.7,68.33,23.543333333333333,37,8.8,17.04082191780822,37.8,-9.1,84.61,429.4,214.09,12.254297897134382,34.5,-9.1,23.46720430107527,6.1,35.5,221.07,180.08,180.08
2005,7,31,RamseyCanyonAZ,31.424,-110.2238,1460,29.9,18.3,23.7,29,16.8,0.86,23.5,2117,85,54.5,5,26.98,38.8,16.4,115.89999999999999,24.265555555555554,38.8,6.4,16.427123287671233,38.8,-6.6,136.16,497.71,208.81,11.271193767829713,31,-6.6,24.572437275985664,9.2,38.8,288.46999999999997,226.23999999999998,226.23999999999998
2006,7,29,RamseyCanyonAZ,31.424,-110.2238,1460,10.72,18.5,22.8,27.1,17.3,0.53,18.28,761,64,49,6,26.98,37.3,16.1,95.89,25.356666666666666,38.3,10.2,17.65808219178082,38.3,-5.7,116.05,388.04,53.66,12.687828615317095,32.4,-5.7,23.540143369175627,10.5,37.3,340.48,227.93,227.93
2007,8,11,RamseyCanyonAZ,31.424,-110.2238,1460,0,18.3,24.6,30.8,16.2,1.7,28.43,2245,88,50,5,24.05,36.7,15.4,204.05,24.873333333333335,38.4,11.4,16.787123287671232,38.4,-7.9,247.24,580.98,152.54,12.026116962914198,31.6,-7.9,24.685591397849464,13.2,38.4,266.11,289.91,203.64999999999998
2008,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,0,19.3,27.2,35,11.3,6.96,44.75,1277,90,54,7,24.543333333333333,35,16.9,192.5,23.683333333333334,38,6.6,17.297260273972604,38,-6.8,249.35,475.85,146.82,12.720619736214841,31.7,-6.8,23.560143369175627,13,35,373.52000000000004,126.22000000000001,288.77
2009,8,1,RamseyCanyonAZ,31.424,-110.2238,1460,0.03,18.9,26.5,34.1,9.1,8.51,43.47,2081,93,45,7,26.75,36.6,18,43.36,24.424444444444443,36.6,12,17.485753424657535,36.6,-6.5,139.05,417.5,103.72999999999999,12.930311608514373,32,-6.5,25.235985663082438,12.5,36.7,153.84,82.58000000000001,237.42000000000002
2010,7,31,RamseyCanyonAZ,31.424,-110.2238,1460,9.71,17.6,23.4,29.2,17.7,0.35,21.98,612,63,50,7,25.943333333333335,36.4,16.8,123.37,23.705555555555556,37.7,4.3,16.67890410958904,37.7,-4.7,123.37,530.77,304.89,11.486543778801844,31.5,-4.7,24.719820788530466,13.4,36.4,314.11,316.47,316.47
2011,7,30,RamseyCanyonAZ,31.424,-110.2238,1460,2.7,18.7,25.4,32,14.9,2.81,32.95,630,60,46.5,7,26.166666666666668,39.3,14.2,79.49,23.99,41.1,4.7,17.416986301369864,41.1,-14.7,85.78,327.67,41.44,12.634882598200571,33.2,-14.7,25.492544802867382,12.8,39.3,207.22,44.739999999999995,44.739999999999995
2012,8,4,RamseyCanyonAZ,31.424,-110.2238,1460,0,17.9,24.9,31.9,10.6,6.97,36,2987,85,56,7,24.926666666666666,35.2,15.6,133.27,24.948888888888888,40.1,8.1,17.761917808219177,40.1,-6.5,167.32,368.93,96.78,12.74989882938715,35.2,-6.5,24.545161290322582,10.9,38,271.68,54.930000000000014,347.01
2013,8,3,RamseyCanyonAZ,31.424,-110.2238,1460,6.81,17.4,23.5,29.7,14.4,3.25,25.44,2738,84,82,11,24.87,35.2,17.4,179.16,24.58111111111111,38.2,8.1,17.51808219178082,38.2,-10.7,203.32,428.33,108.36000000000001,12.563672372174675,32.6,-10.7,24.13326164874552,10.6,37.3,323.22,20.310000000000016,304.06
2014,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,19.12,17.6,23.3,29.1,15.6,0.79,24.76,1072,74,45.5,7,25.196666666666665,35.6,17.3,166.24,24.61777777777778,37.5,7.1,17.71890410958904,37.5,-3.1,169.48,390.11,84.46000000000001,13.15717577353522,30.1,-3.1,23.828243727598565,12.1,36.3,489.28,237.03000000000003,147.83
2015,8,6,RamseyCanyonAZ,31.424,-110.2238,1460,0.08,21.9,28.6,35.3,9.6,11.62,47.18,3237,94,53,7,24.62,35.3,16.6,93.8,23.43111111111111,37.9,5.3,17.25178082191781,37.9,-6.7,181.97,695.84,194.4,13.120999561114768,30.6,-6.7,24.211720430107526,14.7,37.1,310.18,172.12,244.58999999999997
2016,8,1,RamseyCanyonAZ,31.424,-110.2238,1460,47.62,17.8,23.9,29.9,16.3,0.66,25,632,77,41.5,6,26.49,35.9,17.8,105.63,24.225555555555555,40.4,5.8,17.303561643835618,40.4,-6.6,162.92,479.59999999999997,151.45,12.524065893320621,33.4,-6.6,23.790967741935482,11.1,35.9,369.77,172.64000000000001,39.64
2017,8,1,RamseyCanyonAZ,31.424,-110.2238,1460,30.56,17.3,24.4,31.6,16.9,0.8,28.9,1151,74,44,6,24.693333333333335,37.7,16.7,159.98,23.955555555555556,41.4,3.4,17.654520547945207,41.4,-4.8,167.64000000000001,540.15,124.86000000000001,13.579257186745666,32.2,-4.8,23.87598566308244,8,37.7,225.29000000000002,36.4,240.25
2018,8,6,RamseyCanyonAZ,31.424,-110.2238,1460,1.18,19.9,28.3,36.8,12.7,6.82,49.31,2210,98,59.5,7,25.983333333333334,37.9,17.3,142.55,25.044444444444444,38.1,9.7,18.345479452054793,38.1,-5.4,180.39000000000001,341.4,108.88000000000001,14.1721044546851,33.2,-5.4,24.59272401433692,13.1,37.9,245.88,22.240000000000002,273.15999999999997
2019,8,1,RamseyCanyonAZ,31.424,-110.2238,1460,14.31,17.4,22.6,27.7,17.7,1.08,17.84,734,74,39.5,6,26.203333333333333,38.1,14.8,66.42,22.698888888888888,38.1,4.1,16.120821917808218,38.1,-7.3,79.3,440.74,251.04,11.068917050691244,31.4,-7.3,24.816021505376344,11,38.1,240.26999999999998,187.36,75.66999999999999
2020,7,28,RamseyCanyonAZ,31.424,-110.2238,1460,0,20,26.6,33.3,15.5,5.49,34.4,1457,92,55.5,7,26.53,39.5,15.9,52.07,24.787777777777777,39.5,9,17.073972602739726,39.5,-7.6,60.08,596.57,338.54999999999995,11.755962709889296,33.3,-7.6,26.20935483870968,12.3,39.5,118.38,170.60999999999999,170.60999999999999
2021,8,2,RamseyCanyonAZ,31.424,-110.2238,1460,0.69,18.9,25.2,31.6,17.2,2.95,27.61,1070,66,48,8,24.723333333333333,38.1,15.5,135.62,24.744444444444444,40.8,8.1,17.898082191780823,40.8,-7.1,142.15,255.57999999999998,71.44,12.75018762343647,34.5,-7.1,24.02347670250896,11.6,38.1,285.46999999999997,119.05999999999999,230.72
1991,7,27,SabinoCanyonAZ,32.3656,-110.7774,1484,0,18,25.1,32.3,13.1,5.56,33.91,66,8,4,2,25.653333333333332,36.3,17,13.050000000000008,22.084444444444443,36.3,3.1,15.744109589041095,36.3,-11,22.17999999999999,623.77,393.33,10.906579986833442,27.8,-11,24.22021505376344,13.3,36.3,187.58,173.4,173.4
1992,7,26,SabinoCanyonAZ,32.3656,-110.7774,1484,0,16.6,23.3,29.9,17.4,0.12,23.37,190,24,4.5,2,25.613333333333333,37.8,14.8,53.75000000000001,23.043333333333333,37.8,7.5,16.297260273972604,37.8,-7.4,110.41999999999999,729.75,444.80000000000007,11.309574659674771,31.2,-7.4,24.573225806451614,13.8,37.8,266.84,417.51,417.51
1993,7,30,SabinoCanyonAZ,32.3656,-110.7774,1484,0,22.7,28.6,34.4,10.5,13.67,43.33,337,36,5,2,25.296666666666667,35.8,16.1,40.11000000000001,23.745555555555555,38.1,7,16.561643835616437,38.1,-5.2,51.179999999999986,954.16,699.98,11.241456001755541,30.2,-5.2,24.25727598566308,11.1,36.8,364.68,282,282
1994,7,22,SabinoCanyonAZ,32.3656,-110.7774,1484,0.88,19.6,27,34.4,11.2,7.7,42.83,804,46,24,6,28.389999999999997,40,16.3,11.150000000000013,23.29,40,2,16.870136986301368,40,-4.4,52.15999999999999,704.14,346.72,11.565994075049375,31.2,-4.4,25.72021505376344,13.7,37.9,203.85,344.98,344.98
1995,7,29,SabinoCanyonAZ,32.3656,-110.7774,1484,0,24.6,32.6,40.7,1.5,23.06,70.67,1054,23,18,2,26.846666666666668,40.7,16.1,23.370000000000015,22.494444444444444,40.7,0.7,16.336986301369862,40.7,-4.8,29.66999999999999,749.28,537.09,11.160075707702436,29,-4.8,25.809856630824374,12.5,40.7,197.97,255.64,255.64
1996,7,27,SabinoCanyonAZ,32.3656,-110.7774,1484,0,19.3,26.1,32.8,15.7,3.78,32.04,118,16,16,3,26.633333333333333,36.2,16.4,63.850000000000016,24.994444444444444,37.3,7.6,18.096164383561643,40.7,-5,70.38,402.44,157.45999999999998,12.975816515705281,31.7,-5,24.441254480286737,10.9,36.2,241.35,189.69,189.69
1997,7,26,SabinoCanyonAZ,32.3656,-110.7774,1484,0,21.3,28.2,35,8.4,13.15,46.24,116,16,19,4,27.156666666666663,37.9,17,14.920000000000021,24.30222222222222,37.9,10.1,16.906027397260274,37.9,-6.6,49.23999999999999,486.86999999999995,258.55,11.695590300636384,32.8,-6.6,25.57,14.9,37.9,191.51,229.41,229.41
1998,8,1,SabinoCanyonAZ,32.3656,-110.7774,1484,8.68,18.5,24.2,29.8,16,1.76,24.31,222,22,7.5,2,26.266666666666666,39.5,16.3,121.26000000000002,22.993333333333336,39.5,5,15.864383561643836,39.5,-6.8,121.68999999999998,820.26,535.9,10.192783629580864,33.1,-6.8,25.390394265232977,13.2,39.5,269.98,145.96,193.62
2000,7,26,SabinoCanyonAZ,32.3656,-110.7774,1484,0,22.1,29.4,36.8,7,15.99,51.92,978,36,21.5,3,26.363333333333333,37.9,16.6,56.29000000000002,24.805555555555557,37.9,8.2,17.961917808219177,37.9,-4.1,98.35999999999999,368.63,69.29,13.305091371365009,33.6,-4.1,25.63236559139785,12.8,37.9,211.38,224.18,224.18
2001,7,18,SabinoCanyonAZ,32.3656,-110.7774,1484,0,17.8,23.2,28.5,15.7,1.8,22.18,384,42,23,4,25.976666666666667,38.4,16.5,77.82000000000002,23.51888888888889,38.4,0.8,16.706027397260275,38.4,-5.7,120.37999999999998,865.6899999999999,583.11,10.678477068246654,33.1,-5.7,25.114910394265234,16.2,38.4,210.23000000000002,293.42,293.42
2002,7,31,SabinoCanyonAZ,32.3656,-110.7774,1484,0,19.9,23.7,27.6,10.5,9.98,24.77,72,19,15,3,26.783333333333335,37.7,18,57.690000000000026,25.189999999999998,38.4,6.2,17.54191780821918,38.4,-7,57.68999999999998,314.23,136.74,12.153125960061445,30.2,-7,25.560107526881723,13.9,37.7,178.14999999999998,308.33,308.33
2008,7,19,SabinoCanyonAZ,32.3656,-110.7774,1484,0,20.2,27.4,34.6,12.5,6.49,42.79,222,32,14,2,26.319999999999997,38.3,15.8,93.43000000000002,22.46,38.3,5.6,16.994246575342466,38.3,-6,115.20999999999998,495.04,239.13,12.208713914931934,30.8,-6,24.401397849462366,14.1,36.3,238.77,425.95,425.95
2009,7,18,SabinoCanyonAZ,32.3656,-110.7774,1484,1.3,21.3,28.7,36,11.1,9.52,47.48,508,49,18,4,26.6,37.1,13.4,49.58000000000002,23.408888888888892,37.1,6.2,17.614794520547946,37.1,-5.6,70.01999999999998,365.96999999999997,141.14,12.90163704191354,31.5,-5.6,26.111541218637992,14.9,37.8,149.27,223.56,223.56
2010,7,17,SabinoCanyonAZ,32.3656,-110.7774,1484,0,22.9,28.6,34.4,13.3,11.73,40.57,1809,59,32,5,27.656666666666663,37.8,17.1,6.010000000000026,22.136666666666667,37.8,0.8,16.9,37.8,-3.4,36.03999999999998,510.46999999999997,400.36,11.353630678077682,32.2,-3.4,25.7178853046595,12.4,37.7,227.4,423.59000000000003,423.59000000000003
2011,4,2,SabinoCanyonAZ,32.3656,-110.7774,1484,0,13.5,22.4,31.4,-8.7,11.41,43.71,580,48,38,8,14.503333333333332,31.4,1.7,14.770000000000026,10.262222222222222,31.4,-12.6,17.250958904109588,37.8,-12.6,50.12999999999998,469.84999999999997,220.63,12.371765415843758,34.1,-12.6,25.908566308243728,14.1,38.1,224.5,114.26,114.26
2011,7,16,SabinoCanyonAZ,32.3656,-110.7774,1484,0,15,25,34.9,-3.5,11.7,52.44,796,40,26.5,7,27.436666666666664,40,15,32.660000000000025,22.553333333333335,40,4.1,17.38027397260274,40,-12.6,33.62999999999998,475.65,220.63,12.371765415843758,34.1,-12.6,25.908566308243728,14.1,38.1,224.5,185.7,185.7
2012,3,25,SabinoCanyonAZ,32.3656,-110.7774,1484,0,7.6,16.8,26,-8.6,6.24,31.71,1087,63,46.5,8,10.596666666666666,26,-3.4,27.290000000000024,9.884444444444444,26,-3.4,17.223013698630137,40,-6.2,47.309999999999974,465.17,257.88,12.081953493299434,33.8,-6.2,25.137240143369176,13.5,38.2,244.17000000000002,347.54,347.54
2012,7,21,SabinoCanyonAZ,32.3656,-110.7774,1484,5.34,19,26.1,33.2,14.3,2.21,38.26,213,40,18,4,26.983333333333334,37.7,16,77.86000000000003,24.47888888888889,37.7,8.2,17.54027397260274,37.7,-6.2,80.72999999999998,499.46,257.88,12.081953493299434,33.8,-6.2,25.137240143369176,13.5,38.2,244.17000000000002,133.01999999999998,133.01999999999998
2013,4,7,SabinoCanyonAZ,32.3656,-110.7774,1484,0,10.6,17.9,25.3,-2.7,7.45,27.94,1265,60,45.5,7,15.009999999999998,28.1,0.6,10.120000000000026,10.156666666666666,28.1,-9.7,17.74876712328767,38.2,-9.7,61.67999999999998,453.94,198.73,12.396251920122888,31.8,-9.7,25.120179211469534,9.7,38.2,258.15,42.52,42.52
2013,7,20,SabinoCanyonAZ,32.3656,-110.7774,1484,0.58,19.4,24.4,29.5,14.9,3.61,26.17,436,39,31.5,7,27.119999999999997,38.2,18.1,90.160000000000025,24.377777777777776,38.2,8.2,17.653424657534245,38.2,-9.7,92.03999999999998,462.42,198.73,12.396251920122888,31.8,-9.7,25.120179211469534,9.7,38.2,258.15,461.91,461.91
2014,4,6,SabinoCanyonAZ,32.3656,-110.7774,1484,0,4.5,11,17.6,-8.4,5.03,17.21,2477,57,50,8,13.183333333333332,24.8,1.9,2.423061751244404e-14,12.015555555555556,26.6,-2,17.853150684931506,38.2,-4,37.42999999999998,412.43,137.51,12.918891814790433,29.7,-4,24.794444444444444,12.4,37.1,333.51,149.43,149.43
2014,7,19,SabinoCanyonAZ,32.3656,-110.7774,1484,0,21.2,27.1,32.9,6.6,14.84,40.89,354,36,33.5,5,26.483333333333334,36.4,16.9,145.46,23.31222222222222,37,3.8,17.73780821917808,37.1,-4,150.08999999999997,451.54,137.51,12.918891814790433,29.7,-4,24.794444444444444,12.4,37.1,333.51,328.24,328.24
2015,3,29,SabinoCanyonAZ,32.3656,-110.7774,1484,0,10.1,18.8,27.5,-8.3,8.6,34.34,3349,66,64.5,9,13.503333333333332,27.8,0.9,27.020000000000028,11.473333333333333,27.8,-5.5,17.88164383561644,37.1,-5.5,168.07999999999998,738.51,421.28999999999996,13.253603247750712,30.8,-5.5,25.01458781362007,15.4,37.4,550.62,476.15,476.15
2015,7,18,SabinoCanyonAZ,32.3656,-110.7774,1484,20.1,18.7,23.4,28.2,15.3,3.32,21.83,263,41,29.5,6,26.743333333333332,38,18,155.12000000000003,22.14888888888889,38,5.2,17.656164383561645,38,-5.5,234.14,822.56,421.28999999999996,13.253603247750712,30.8,-5.5,25.01458781362007,15.4,37.4,550.62,180.08,180.08
2016,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,5.7,12.9,20.2,-6.3,4.71,20.04,1678,60,56.5,10,13.33,27,0.4,2.460000000000042,11.338888888888889,27,-5.6,17.162739726027397,38,-7.9,75.69999999999997,944.54,362.11,12.31660416335611,33.6,-7.9,24.635734767025088,10.6,36.6,219.55,226.23999999999998,226.23999999999998
2016,7,16,SabinoCanyonAZ,32.3656,-110.7774,1484,0,22.4,29.1,35.8,9.4,12.71,48.41,851,56,45.5,9,27.376666666666665,39.9,16.7,55.160000000000046,22.621111111111112,39.9,4.9,17.30931506849315,39.9,-7.9,55.81999999999998,848.3100000000001,362.11,12.31660416335611,33.6,-7.9,24.635734767025088,10.6,36.6,219.55,227.93,227.93
2017,3,26,SabinoCanyonAZ,32.3656,-110.7774,1484,0,4.2,13,21.8,-4.7,3.96,22.71,2193,62,58,10,14.593333333333332,28.9,-1.5,1.7900000000000473,11.19111111111111,28.9,-4.2,17.803835616438356,39.9,-4.2,186.76,586.37,265.07,13.623598858898397,31.4,-4.2,25.098387096774193,9.5,38.2,314.03000000000003,203.64999999999998,203.64999999999998
2017,7,15,SabinoCanyonAZ,32.3656,-110.7774,1484,5.06,19.8,26.4,33.1,15.1,3.55,35.37,687,42,38.5,6,28.87333333333333,40.8,17,65.57000000000005,23.492222222222225,40.8,5.2,18.115068493150684,40.8,-4.2,71.28999999999998,542.16,265.07,13.623598858898397,31.4,-4.2,25.098387096774193,9.5,38.2,314.03000000000003,288.77,288.77
2018,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,8.7,16.7,24.7,-10.9,8.57,28.86,855,54,51.5,9,13.373333333333333,26.9,1.3,5.510000000000047,11.415555555555557,26.9,-3.5,18.633150684931504,40.8,-4.1,150.85999999999999,480.77000000000004,161,14.440797673908273,32.5,-4.1,25.790716845878137,15.2,38.8,213.57,237.42000000000002,237.42000000000002
2018,7,31,SabinoCanyonAZ,32.3656,-110.7774,1484,9.69,20.5,27.1,33.6,14.7,5.74,36.96,1100,63,33.5,6,26.656666666666663,38.8,17.5,94.18000000000005,24.90111111111111,38.8,4.3,18.74821917808219,38.8,-4.1,134.32999999999998,393.46000000000004,161,14.440797673908273,32.5,-4.1,25.790716845878137,15.2,38.8,213.57,316.47,316.47
2019,7,23,SabinoCanyonAZ,32.3656,-110.7774,1484,16.91,18.5,26.3,34,14.7,1.93,38.96,906,60,38.5,7,27.436666666666664,37.7,16.2,25.200000000000042,22.455555555555556,37.7,4.1,16.69123287671233,38.8,-5.4,31.729999999999983,630.1,451.93,11.334410796576694,31.5,-5.4,26.006236559139786,12.5,37.7,178.01,44.739999999999995,44.739999999999995
2020,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,8,15.5,23,-2.9,5.39,23.46,2618,66,62,11,11.839999999999998,24.1,-0.8,35.410000000000046,9.974444444444446,24.1,-6.5,17.059178082191778,37.7,-6.5,112.99999999999999,467.13,272.38,12.072971555696805,33.6,-6.5,27.32978494623656,10.9,39.5,69.09,347.01,347.01
2020,7,29,SabinoCanyonAZ,32.3656,-110.7774,1484,0,21.1,28.1,35.1,14,6.65,43.11,247,33,14.5,4,27.583333333333332,39.5,17.4,36.490000000000045,25.28777777777778,39.5,9.5,17.56904109589041,39.5,-6.5,43.78999999999998,453.27,272.38,12.072971555696805,33.6,-6.5,27.32978494623656,10.9,39.5,69.09,304.06,304.06
